car_code,section_key,score,rating,status,remarks
CAR001,core_systems,9.6,excellent,flawless,Core systems functioning well with smooth and reliable performance
CAR001,supporting_systems,8.9,good,minor,Supporting systems are well maintained and fully operational
CAR001,interiors_ac,9.7,excellent,flawless,"Interiors and AC system are clean, comfortable, and working properly"
CAR001,exteriors_lights,9.5,excellent,flawless,Exterior panels and lighting systems are in good overall condition
CAR001,wear_tear_parts,8.3,good,minor,Wear and tear parts show normal usage and are in good condition
CAR002,core_systems,8.4,good,minor,Core systems functioning well with smooth and reliable performance
CAR002,supporting_systems,8.2,good,minor,Supporting systems are well maintained and fully operational
CAR002,interiors_ac,9.6,excellent,flawless,"Interiors and AC system are clean, comfortable, and working properly"
CAR002,exteriors_lights,9.2,excellent,flawless,Exterior panels and lighting systems are in good overall condition
CAR002,wear_tear_parts,8.2,good,minor,Wear and tear parts show normal usage and are in good condition
CAR003,core_systems,9.1,excellent,flawless,Core systems functioning well with smooth and reliable performance
CAR003,supporting_systems,9.4,excellent,flawless,Supporting systems are well maintained and fully operational
CAR003,interiors_ac,9.1,excellent,flawless,"Interiors and AC system are clean, comfortable, and working properly"
CAR003,exteriors_lights,9.2,excellent,flawless,Exterior panels and lighting systems are in good overall condition
CAR003,wear_tear_parts,8.3,good,minor,Wear and tear parts show normal usage and are in good condition
CAR004,core_systems,9.7,excellent,flawless,Core systems functioning well with smooth and reliable performance
CAR004,supporting_systems,9.3,excellent,flawless,Supporting systems are well maintained and fully operational
CAR004,interiors_ac,9.0,excellent,flawless,"Interiors and AC system are clean, comfortable, and working properly"
CAR004,exteriors_lights,8.4,good,minor,Exterior panels and lighting systems are in good overall condition
CAR004,wear_tear_parts,8.3,good,minor,Wear and tear parts show normal usage and are in good condition
CAR005,core_systems,8.6,good,minor,Core systems functioning well with smooth and reliable performance
CAR005,supporting_systems,9.1,excellent,flawless,Supporting systems are well maintained and fully operational
CAR005,interiors_ac,8.7,good,minor,"Interiors and AC system are clean, comfortable, and working properly"
CAR005,exteriors_lights,8.4,good,minor,Exterior panels and lighting systems are in good overall condition
CAR005,wear_tear_parts,8.4,good,minor,Wear and tear parts show normal usage and are in good condition
CAR006,core_systems,8.6,good,minor,Core systems functioning well with smooth and reliable performance
CAR006,supporting_systems,9.5,excellent,flawless,Supporting systems are well maintained and fully operational
CAR006,interiors_ac,9.3,excellent,flawless,"Interiors and AC system are clean, comfortable, and working properly"
CAR006,exteriors_lights,9.7,excellent,flawless,Exterior panels and lighting systems are in good overall condition
CAR006,wear_tear_parts,9.8,excellent,flawless,Wear and tear parts show normal usage and are in good condition
CAR007,core_systems,8.7,good,minor,Core systems functioning well with smooth and reliable performance
CAR007,supporting_systems,9.8,excellent,flawless,Supporting systems are well maintained and fully operational
CAR007,interiors_ac,8.6,good,minor,"Interiors and AC system are clean, comfortable, and working properly"
CAR007,exteriors_lights,8.5,good,minor,Exterior panels and lighting systems are in good overall condition
CAR007,wear_tear_parts,8.5,good,minor,Wear and tear parts show normal usage and are in good condition
CAR008,core_systems,9.6,excellent,flawless,Core systems functioning well with smooth and reliable performance
CAR008,supporting_systems,9.4,excellent,flawless,Supporting systems are well maintained and fully operational
CAR008,interiors_ac,9.1,excellent,flawless,"Interiors and AC system are clean, comfortable, and working properly"
CAR008,exteriors_lights,9.3,excellent,flawless,Exterior panels and lighting systems are in good overall condition
CAR008,wear_tear_parts,8.6,good,minor,Wear and tear parts show normal usage and are in good condition
CAR009,core_systems,8.9,good,minor,Core systems functioning well with smooth and reliable performance
CAR009,supporting_systems,9.1,excellent,flawless,Supporting systems are well maintained and fully operational
CAR009,interiors_ac,8.5,good,minor,"Interiors and AC system are clean, comfortable, and working properly"
CAR009,exteriors_lights,8.5,good,minor,Exterior panels and lighting systems are in good overall condition
CAR009,wear_tear_parts,9.6,excellent,flawless,Wear and tear parts show normal usage and are in good condition
CAR010,core_systems,8.6,good,minor,Core systems functioning well with smooth and reliable performance
CAR010,supporting_systems,9.1,excellent,flawless,Supporting systems are well maintained and fully operational
CAR010,interiors_ac,8.3,good,minor,"Interiors and AC system are clean, comfortable, and working properly"
CAR010,exteriors_lights,8.4,good,minor,Exterior panels and lighting systems are in good overall condition
CAR010,wear_tear_parts,8.1,good,minor,Wear and tear parts show normal usage and are in good condition
CAR011,core_systems,8.1,good,minor,Core systems functioning well with smooth and reliable performance
CAR011,supporting_systems,9.3,excellent,flawless,Supporting systems are well maintained and fully operational
CAR011,interiors_ac,9.3,excellent,flawless,"Interiors and AC system are clean, comfortable, and working properly"
CAR011,exteriors_lights,9.5,excellent,flawless,Exterior panels and lighting systems are in good overall condition
CAR011,wear_tear_parts,9.3,excellent,flawless,Wear and tear parts show normal usage and are in good condition
CAR012,core_systems,9.3,excellent,flawless,Core systems functioning well with smooth and reliable performance
CAR012,supporting_systems,9.3,excellent,flawless,Supporting systems are well maintained and fully operational
CAR012,interiors_ac,8.1,good,minor,"Interiors and AC system are clean, comfortable, and working properly"
CAR012,exteriors_lights,8.8,good,minor,Exterior panels and lighting systems are in good overall condition
CAR012,wear_tear_parts,8.9,good,minor,Wear and tear parts show normal usage and are in good condition
CAR013,core_systems,8.4,good,minor,Core systems functioning well with smooth and reliable performance
CAR013,supporting_systems,8.8,good,minor,Supporting systems are well maintained and fully operational
CAR013,interiors_ac,9.6,excellent,flawless,"Interiors and AC system are clean, comfortable, and working properly"
CAR013,exteriors_lights,8.8,good,minor,Exterior panels and lighting systems are in good overall condition
CAR013,wear_tear_parts,9.0,excellent,flawless,Wear and tear parts show normal usage and are in good condition
CAR014,core_systems,9.0,excellent,flawless,Core systems functioning well with smooth and reliable performance
CAR014,supporting_systems,9.1,excellent,flawless,Supporting systems are well maintained and fully operational
CAR014,interiors_ac,9.4,excellent,flawless,"Interiors and AC system are clean, comfortable, and working properly"
CAR014,exteriors_lights,9.4,excellent,flawless,Exterior panels and lighting systems are in good overall condition
CAR014,wear_tear_parts,8.6,good,minor,Wear and tear parts show normal usage and are in good condition
CAR015,core_systems,9.6,excellent,flawless,Core systems functioning well with smooth and reliable performance
CAR015,supporting_systems,9.3,excellent,flawless,Supporting systems are well maintained and fully operational
