"car_code","subsection_key","status","remarks"
"CAR001","ac_system","minor","Minor imperfections, fully restored"
"CAR001","air_intake","flawless","Flawless, no imperfections, air intake system clean and functional"
"CAR001","audio_infotainment","flawless","Flawless, no imperfections"
"CAR001","battery","flawless","Battery in excellent condition, holds charge well, no issues detected"
"CAR001","body_panels","minor","Body panels in acceptable condition, minor scratches present"
"CAR001","brake_system","minor","Brake system functioning well; minor wear on brake pads, replacement recommended in next service"
"CAR001","chassis","minor","Chassis in good condition, minor wear expected"
"CAR001","clutch","minor","Clutch engaging smoothly; minor wear expected, functioning properly"
"CAR001","engine","flawless","Engine running smoothly, no issues detected"
"CAR001","engine_cooling","minor","Minor imperfection noted, fully restored, cooling system operational"
"CAR001","engine_mounts","flawless","Flawless, no imperfections, engine mounts secure and properly aligned"
"CAR001","exhaust_system","minor","Effective emissions control; few imperfection with no immediate impact, checkup at service intervals recommended"
"CAR001","features_accessories","minor","Minor imperfections, most were restored"
"CAR001","front_tyre","minor","L-43K km R-34K km"
"CAR001","fuel_supply","flawless","Flawless, no imperfections, fuel delivery system working perfectly"
"CAR001","glass","flawless","All glass and mirrors in excellent condition"
"CAR001","ignition_system","minor","Minor imperfections detected, fully restored and functioning properly"
"CAR001","lights","flawless","Lighting system functioning properly, all lights operational"
"CAR001","paint","minor","Paint condition is good, minor fading in some areas"
"CAR001","rear_tyre","minor","L-47K km R-31K km"
"CAR001","spare_tyre","minor","2K km"
"CAR001","steering","minor","Smooth response; few imperfections with no immediate impact, checkup at service intervals recommended"
"CAR001","suspension","minor","Comfortable ride quality; few imperfections with no immediate impact, checkup at service intervals recommended"
"CAR001","transmission","flawless","Transmission functioning perfectly, smooth gear shifts"
"CAR001","tyres_rims","minor","Non-essential imperfections"
"CAR002","ac_system","minor","Minor imperfections, fully restored"
"CAR002","air_intake","flawless","Flawless, no imperfections, air intake system clean and functional"
"CAR002","audio_infotainment","flawless","Flawless, no imperfections"
"CAR002","battery","flawless","Battery in excellent condition, holds charge well, no issues detected"
"CAR002","body_panels","minor","Body panels in acceptable condition, minor scratches present"
"CAR002","brake_system","minor","Brake system functioning well; minor wear on brake pads, replacement recommended in next service"
"CAR002","chassis","minor","Chassis in good condition, minor wear expected"
"CAR002","clutch","minor","Clutch engaging smoothly; minor wear expected, functioning properly"
"CAR002","engine","flawless","Engine running smoothly, no issues detected"
"CAR002","engine_cooling","minor","Minor imperfection noted, fully restored, cooling system operational"
"CAR002","engine_mounts","flawless","Flawless, no imperfections, engine mounts secure and properly aligned"
"CAR002","exhaust_system","minor","Effective emissions control; few imperfection with no immediate impact, checkup at service intervals recommended"
"CAR002","features_accessories","minor","Minor imperfections, most were restored"
"CAR002","front_tyre","minor","L-43K km R-34K km"
"CAR002","fuel_supply","flawless","Flawless, no imperfections, fuel delivery system working perfectly"
"CAR002","glass","flawless","All glass and mirrors in excellent condition"
"CAR002","ignition_system","minor","Minor imperfections detected, fully restored and functioning properly"
"CAR002","lights","flawless","Lighting system functioning properly, all lights operational"
"CAR002","paint","minor","Paint condition is good, minor fading in some areas"
"CAR002","rear_tyre","minor","L-47K km R-31K km"
"CAR002","spare_tyre","minor","2K km"
"CAR002","steering","minor","Smooth response; few imperfections with no immediate impact, checkup at service intervals recommended"
"CAR002","suspension","minor","Comfortable ride quality; few imperfections with no immediate impact, checkup at service intervals recommended"
"CAR002","transmission","flawless","Transmission functioning perfectly, smooth gear shifts"
"CAR002","tyres_rims","minor","Non-essential imperfections"
"CAR003","ac_system","minor","Minor imperfections, fully restored"
"CAR003","air_intake","flawless","Flawless, no imperfections, air intake system clean and functional"
"CAR003","audio_infotainment","flawless","Flawless, no imperfections"
"CAR003","battery","flawless","Battery in excellent condition, holds charge well, no issues detected"
"CAR003","body_panels","minor","Body panels in acceptable condition, minor scratches present"
"CAR003","brake_system","minor","Brake system functioning well; minor wear on brake pads, replacement recommended in next service"
"CAR003","chassis","minor","Chassis in good condition, minor wear expected"
"CAR003","clutch","minor","Clutch engaging smoothly; minor wear expected, functioning properly"
"CAR003","engine","flawless","Engine running smoothly, no issues detected"
"CAR003","engine_cooling","minor","Minor imperfection noted, fully restored, cooling system operational"
"CAR003","engine_mounts","flawless","Flawless, no imperfections, engine mounts secure and properly aligned"
"CAR003","exhaust_system","minor","Effective emissions control; few imperfection with no immediate impact, checkup at service intervals recommended"
"CAR003","features_accessories","minor","Minor imperfections, most were restored"
"CAR003","front_tyre","minor","L-43K km R-34K km"
"CAR003","fuel_supply","flawless","Flawless, no imperfections, fuel delivery system working perfectly"
"CAR003","glass","flawless","All glass and mirrors in excellent condition"
"CAR003","ignition_system","minor","Minor imperfections detected, fully restored and functioning properly"
"CAR003","lights","flawless","Lighting system functioning properly, all lights operational"
"CAR003","paint","minor","Paint condition is good, minor fading in some areas"
"CAR003","rear_tyre","minor","L-47K km R-31K km"
"CAR003","spare_tyre","minor","2K km"
"CAR003","steering","minor","Smooth response; few imperfections with no immediate impact, checkup at service intervals recommended"
"CAR003","suspension","minor","Comfortable ride quality; few imperfections with no immediate impact, checkup at service intervals recommended"
"CAR003","transmission","flawless","Transmission functioning perfectly, smooth gear shifts"
"CAR003","tyres_rims","minor","Non-essential imperfections"
"CAR004","ac_system","minor","Minor imperfections, fully restored"
"CAR004","air_intake","flawless","Flawless, no imperfections, air intake system clean and functional"
"CAR004","audio_infotainment","flawless","Flawless, no imperfections"
