"car_code","section_key","score","rating","status","remarks"
"CAR001","core_systems","9.6","excellent","flawless","Core systems functioning well with excellent performance"
"CAR001","supporting_systems","8.7","good","minor","Supporting systems in good condition, all components operational"
"CAR001","interiors_ac","8.8","good","minor","Interiors and AC systems functioning properly, well maintained"
"CAR001","exteriors_lights","7.8","fair","minor","Imperfections on body panels but no impact on build quality"
"CAR001","wear_tear_parts","7.5","fair","minor","Few components have experienced wear and tear"
"CAR002","core_systems","9.2","excellent","flawless","Core systems functioning well with excellent performance"
"CAR002","supporting_systems","8.5","good","minor","Supporting systems in good condition, all components operational"
"CAR002","interiors_ac","9.0","excellent","flawless","Interiors and AC systems functioning properly, well maintained"
"CAR002","exteriors_lights","8.2","good","minor","Exterior and lighting systems in acceptable condition"
"CAR002","wear_tear_parts","8.0","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR003","core_systems","9.8","excellent","flawless","Core systems functioning well with excellent performance"
"CAR003","supporting_systems","9.0","excellent","flawless","Supporting systems in good condition, all components operational"
"CAR003","interiors_ac","9.5","excellent","flawless","Interiors and AC systems functioning properly, well maintained"
"CAR003","exteriors_lights","9.2","excellent","flawless","Exterior and lighting systems in acceptable condition"
"CAR003","wear_tear_parts","8.5","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR004","core_systems","8.0","good","minor","Core systems functioning well with excellent performance"
"CAR004","supporting_systems","7.8","fair","minor","Supporting systems in good condition, all components operational"
"CAR004","interiors_ac","7.5","fair","minor","Interiors and AC systems functioning properly, well maintained"
"CAR004","exteriors_lights","7.2","fair","minor","Exterior and lighting systems in acceptable condition"
"CAR004","wear_tear_parts","6.8","fair","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
"CAR005","core_systems","9.4","excellent","flawless","Core systems functioning well with excellent performance"
"CAR005","supporting_systems","8.8","good","minor","Supporting systems in good condition, all components operational"
"CAR005","interiors_ac","8.9","good","minor","Interiors and AC systems functioning properly, well maintained"
"CAR005","exteriors_lights","8.5","good","minor","Exterior and lighting systems in acceptable condition"
"CAR005","wear_tear_parts","8.2","good","minor","Wear and tear parts showing expected usage, replacement may be needed soon"
