car_code,subsection_key,status,remarks
CAR001,ac_system,flawless,"AC cooling efficiently, climate control working properly, no issues detected"
CAR001,air_intake,flawless,"Air intake system clean and fully functional, no issues detected"
CAR001,audio_infotainment,flawless,"Infotainment system responsive with clear audio, no issues detected"
CAR001,battery,flawless,"Battery health is good and holding charge well, no issues detected"
CAR001,body_panels,flawless,"Body panels aligned properly with minimal cosmetic marks, no issues detected"
CAR001,brake_system,flawless,"Brake system responsive and functioning safely, no issues detected"
CAR001,chassis,flawless,"Chassis structure intact and in good condition, no issues detected"
CAR001,clutch,flawless,"Clutch operation smooth and responsive, no issues detected"
CAR001,engine,flawless,"Engine running smoothly with no abnormal noise, no issues detected"
CAR001,engine_cooling,flawless,"Cooling system effective, temperature well regulated, no issues detected"
CAR001,engine_mounts,flawless,"Engine mounts secure with proper alignment, no issues detected"
CAR001,exhaust_system,flawless,"Exhaust system functioning correctly with normal emissions, no issues detected"
CAR001,features_accessories,flawless,"All major features and accessories operational, no issues detected"
CAR001,front_tyre,flawless,"Front tyres show healthy tread life remaining, no issues detected"
CAR001,fuel_supply,flawless,"Fuel supply system working efficiently, no issues detected"
CAR001,glass,flawless,"All windows and mirrors clear and intact, no issues detected"
CAR001,ignition_system,flawless,"Ignition system functioning reliably, no issues detected"
CAR001,lights,flawless,"All exterior and interior lights operational, no issues detected"
CAR001,paint,flawless,"Paint condition good with minor age-related marks, no issues detected"
CAR001,rear_tyre,flawless,"Rear tyres show healthy tread life remaining, no issues detected"
CAR001,spare_tyre,flawless,"Spare tyre in usable condition, no issues detected"
CAR001,steering,flawless,"Steering response smooth and stable, no issues detected"
CAR001,suspension,flawless,"Suspension provides comfortable ride quality, no issues detected"
CAR001,transmission,minor,"Transmission shifts smoothly without lag, minor observation noted"
CAR001,tyres_rims,flawless,"Tyres and rims in good usable condition, no issues detected"
CAR002,ac_system,flawless,"AC cooling efficiently, climate control working properly, no issues detected"
CAR002,air_intake,flawless,"Air intake system clean and fully functional, no issues detected"
CAR002,audio_infotainment,flawless,"Infotainment system responsive with clear audio, no issues detected"
CAR002,battery,minor,"Battery health is good and holding charge well, minor observation noted"
CAR002,body_panels,flawless,"Body panels aligned properly with minimal cosmetic marks, no issues detected"
CAR002,brake_system,flawless,"Brake system responsive and functioning safely, no issues detected"
CAR002,chassis,flawless,"Chassis structure intact and in good condition, no issues detected"
CAR002,clutch,flawless,"Clutch operation smooth and responsive, no issues detected"
CAR002,engine,flawless,"Engine running smoothly with no abnormal noise, no issues detected"
CAR002,engine_cooling,flawless,"Cooling system effective, temperature well regulated, no issues detected"
CAR002,engine_mounts,flawless,"Engine mounts secure with proper alignment, no issues detected"
CAR002,exhaust_system,flawless,"Exhaust system functioning correctly with normal emissions, no issues detected"
CAR002,features_accessories,flawless,"All major features and accessories operational, no issues detected"
CAR002,front_tyre,flawless,"Front tyres show healthy tread life remaining, no issues detected"
CAR002,fuel_supply,flawless,"Fuel supply system working efficiently, no issues detected"
CAR002,glass,flawless,"All windows and mirrors clear and intact, no issues detected"
CAR002,ignition_system,flawless,"Ignition system functioning reliably, no issues detected"
CAR002,lights,flawless,"All exterior and interior lights operational, no issues detected"
CAR002,paint,flawless,"Paint condition good with minor age-related marks, no issues detected"
CAR002,rear_tyre,flawless,"Rear tyres show healthy tread life remaining, no issues detected"
CAR002,spare_tyre,flawless,"Spare tyre in usable condition, no issues detected"
CAR002,steering,flawless,"Steering response smooth and stable, no issues detected"
CAR002,suspension,flawless,"Suspension provides comfortable ride quality, no issues detected"
CAR002,transmission,minor,"Transmission shifts smoothly without lag, minor observation noted"
CAR002,tyres_rims,flawless,"Tyres and rims in good usable condition, no issues detected"
CAR003,ac_system,minor,"AC cooling efficiently, climate control working properly, minor observation noted"
CAR003,air_intake,flawless,"Air intake system clean and fully functional, no issues detected"
CAR003,audio_infotainment,flawless,"Infotainment system responsive with clear audio, no issues detected"
CAR003,battery,flawless,"Battery health is good and holding charge well, no issues detected"
CAR003,body_panels,flawless,"Body panels aligned properly with minimal cosmetic marks, no issues detected"
CAR003,brake_system,minor,"Brake system responsive and functioning safely, minor observation noted"
CAR003,chassis,flawless,"Chassis structure intact and in good condition, no issues detected"
CAR003,clutch,minor,"Clutch operation smooth and responsive, minor observation noted"
CAR003,engine,flawless,"Engine running smoothly with no abnormal noise, no issues detected"
CAR003,engine_cooling,flawless,"Cooling system effective, temperature well regulated, no issues detected"
CAR003,engine_mounts,minor,"Engine mounts secure with proper alignment, minor observation noted"
CAR003,exhaust_system,flawless,"Exhaust system functioning correctly with normal emissions, no issues detected"
CAR003,features_accessories,flawless,"All major features and accessories operational, no issues detected"
CAR003,front_tyre,flawless,"Front tyres show healthy tread life remaining, no issues detected"
CAR003,fuel_supply,flawless,"Fuel supply system working efficiently, no issues detected"
CAR003,glass,flawless,"All windows and mirrors clear and intact, no issues detected"
CAR003,ignition_system,flawless,"Ignition system functioning reliably, no issues detected"
CAR003,lights,flawless,"All exterior and interior lights operational, no issues detected"
CAR003,paint,flawless,"Paint condition good with minor age-related marks, no issues detected"
CAR003,rear_tyre,flawless,"Rear tyres show healthy tread life remaining, no issues detected"
CAR003,spare_tyre,minor,"Spare tyre in usable condition, minor observation noted"
CAR003,steering,minor,"Steering response smooth and stable, minor observation noted"
CAR003,suspension,flawless,"Suspension provides comfortable ride quality, no issues detected"
CAR003,transmission,flawless,"Transmission shifts smoothly without lag, no issues detected"
CAR003,tyres_rims,flawless,"Tyres and rims in good usable condition, no issues detected"
CAR004,ac_system,flawless,"AC cooling efficiently, climate control working properly, no issues detected"
CAR004,air_intake,flawless,"Air intake system clean and fully functional, no issues detected"
CAR004,audio_infotainment,flawless,"Infotainment system responsive with clear audio, no issues detected"
CAR004,battery,flawless,"Battery health is good and holding charge well, no issues detected"
CAR004,body_panels,flawless,"Body panels aligned properly with minimal cosmetic marks, no issues detected"
CAR004,brake_system,flawless,"Brake system responsive and functioning safely, no issues detected"
CAR004,chassis,flawless,"Chassis structure intact and in good condition, no issues detected"
CAR004,clutch,flawless,"Clutch operation smooth and responsive, no issues detected"
CAR004,engine,flawless,"Engine running smoothly with no abnormal noise, no issues detected"
CAR004,engine_cooling,flawless,"Cooling system effective, temperature well regulated, no issues detected"
CAR004,engine_mounts,flawless,"Engine mounts secure with proper alignment, no issues detected"
CAR004,exhaust_system,flawless,"Exhaust system functioning correctly with normal emissions, no issues detected"
CAR004,features_accessories,flawless,"All major features and accessories operational, no issues detected"
CAR004,front_tyre,flawless,"Front tyres show healthy tread life remaining, no issues detected"
CAR004,fuel_supply,minor,"Fuel supply system working efficiently, minor observation noted"
CAR004,glass,minor,"All windows and mirrors clear and intact, minor observation noted"
CAR004,ignition_system,flawless,"Ignition system functioning reliably, no issues detected"
CAR004,lights,flawless,"All exterior and interior lights operational, no issues detected"
CAR004,paint,flawless,"Paint condition good with minor age-related marks, no issues detected"
CAR004,rear_tyre,flawless,"Rear tyres show healthy tread life remaining, no issues detected"
CAR004,spare_tyre,flawless,"Spare tyre in usable condition, no issues detected"
CAR004,steering,flawless,"Steering response smooth and stable, no issues detected"
CAR004,suspension,flawless,"Suspension provides comfortable ride quality, no issues detected"
CAR004,transmission,flawless,"Transmission shifts smoothly without lag, no issues detected"
CAR004,tyres_rims,flawless,"Tyres and rims in good usable condition, no issues detected"
CAR005,ac_system,flawless,"AC cooling efficiently, climate control working properly, no issues detected"
CAR005,air_intake,minor,"Air intake system clean and fully functional, minor observation noted"
CAR005,audio_infotainment,flawless,"Infotainment system responsive with clear audio, no issues detected"
CAR005,battery,flawless,"Battery health is good and holding charge well, no issues detected"
CAR005,body_panels,flawless,"Body panels aligned properly with minimal cosmetic marks, no issues detected"
CAR005,brake_system,flawless,"Brake system responsive and functioning safely, no issues detected"
CAR005,chassis,minor,"Chassis structure intact and in good condition, minor observation noted"
CAR005,clutch,flawless,"Clutch operation smooth and responsive, no issues detected"
CAR005,engine,flawless,"Engine running smoothly with no abnormal noise, no issues detected"
CAR005,engine_cooling,minor,"Cooling system effective, temperature well regulated, minor observation noted"
CAR005,engine_mounts,flawless,"Engine mounts secure with proper alignment, no issues detected"
CAR005,exhaust_system,flawless,"Exhaust system functioning correctly with normal emissions, no issues detected"
CAR005,features_accessories,flawless,"All major features and accessories operational, no issues detected"
CAR005,front_tyre,flawless,"Front tyres show healthy tread life remaining, no issues detected"
CAR005,fuel_supply,flawless,"Fuel supply system working efficiently, no issues detected"
CAR005,glass,flawless,"All windows and mirrors clear and intact, no issues detected"
CAR005,ignition_system,flawless,"Ignition system functioning reliably, no issues detected"
CAR005,lights,flawless,"All exterior and interior lights operational, no issues detected"
CAR005,paint,flawless,"Paint condition good with minor age-related marks, no issues detected"
CAR005,rear_tyre,flawless,"Rear tyres show healthy tread life remaining, no issues detected"
CAR005,spare_tyre,flawless,"Spare tyre in usable condition, no issues detected"
CAR005,steering,flawless,"Steering response smooth and stable, no issues detected"
CAR005,suspension,flawless,"Suspension provides comfortable ride quality, no issues detected"
CAR005,transmission,flawless,"Transmission shifts smoothly without lag, no issues detected"
CAR005,tyres_rims,flawless,"Tyres and rims in good usable condition, no issues detected"
CAR006,ac_system,flawless,"AC cooling efficiently, climate control working properly, no issues detected"
CAR006,air_intake,minor,"Air intake system clean and fully functional, minor observation noted"
CAR006,audio_infotainment,flawless,"Infotainment system responsive with clear audio, no issues detected"
CAR006,battery,flawless,"Battery health is good and holding charge well, no issues detected"
CAR006,body_panels,flawless,"Body panels aligned properly with minimal cosmetic marks, no issues detected"
CAR006,brake_system,flawless,"Brake system responsive and functioning safely, no issues detected"
CAR006,chassis,flawless,"Chassis structure intact and in good condition, no issues detected"
CAR006,clutch,flawless,"Clutch operation smooth and responsive, no issues detected"
CAR006,engine,flawless,"Engine running smoothly with no abnormal noise, no issues detected"
CAR006,engine_cooling,flawless,"Cooling system effective, temperature well regulated, no issues detected"
CAR006,engine_mounts,flawless,"Engine mounts secure with proper alignment, no issues detected"
CAR006,exhaust_system,minor,"Exhaust system functioning correctly with normal emissions, minor observation noted"
CAR006,features_accessories,flawless,"All major features and accessories operational, no issues detected"
CAR006,front_tyre,flawless,"Front tyres show healthy tread life remaining, no issues detected"
CAR006,fuel_supply,flawless,"Fuel supply system working efficiently, no issues detected"
CAR006,glass,minor,"All windows and mirrors clear and intact, minor observation noted"
CAR006,ignition_system,flawless,"Ignition system functioning reliably, no issues detected"
CAR006,lights,flawless,"All exterior and interior lights operational, no issues detected"
CAR006,paint,minor,"Paint condition good with minor age-related marks, minor observation noted"
CAR006,rear_tyre,flawless,"Rear tyres show healthy tread life remaining, no issues detected"
CAR006,spare_tyre,minor,"Spare tyre in usable condition, minor observation noted"
CAR006,steering,minor,"Steering response smooth and stable, minor observation noted"
CAR006,suspension,flawless,"Suspension provides comfortable ride quality, no issues detected"
CAR006,transmission,flawless,"Transmission shifts smoothly without lag, no issues detected"
CAR006,tyres_rims,flawless,"Tyres and rims in good usable condition, no issues detected"
CAR007,ac_system,flawless,"AC cooling efficiently, climate control working properly, no issues detected"
CAR007,air_intake,flawless,"Air intake system clean and fully functional, no issues detected"
CAR007,audio_infotainment,flawless,"Infotainment system responsive with clear audio, no issues detected"
CAR007,battery,flawless,"Battery health is good and holding charge well, no issues detected"
CAR007,body_panels,flawless,"Body panels aligned properly with minimal cosmetic marks, no issues detected"
CAR007,brake_system,flawless,"Brake system responsive and functioning safely, no issues detected"
CAR007,chassis,flawless,"Chassis structure intact and in good condition, no issues detected"
CAR007,clutch,flawless,"Clutch operation smooth and responsive, no issues detected"
CAR007,engine,flawless,"Engine running smoothly with no abnormal noise, no issues detected"
CAR007,engine_cooling,minor,"Cooling system effective, temperature well regulated, minor observation noted"
CAR007,engine_mounts,flawless,"Engine mounts secure with proper alignment, no issues detected"
CAR007,exhaust_system,flawless,"Exhaust system functioning correctly with normal emissions, no issues detected"
CAR007,features_accessories,flawless,"All major features and accessories operational, no issues detected"
CAR007,front_tyre,flawless,"Front tyres show healthy tread life remaining, no issues detected"
